rank,video_id,title,publishedAt,channelId,channelTitle,categoryId,category,trending_date,tags,view_count,likes,dislikes,comment_count,duration
191,eoCcpMW8fSs,Astartes - Part Five,2020-04-02T21:00:12.000Z,UCFMtdiQILuTZr22sKUeAOOA,Astartes,1,Film & Animation,20.04.10,"""astartes|warhammer|cgi|film|animation|scifi|space marine|40k""",3536102,336214,1103,30413,454
192,xf_NpgbNSTY,"One More Saturday Night: Dead & Company 6/30/18 Live From Eugene, OR",2020-04-05T03:24:03.000Z,UCQJz0ly741rjN_cfsW5ktYQ,Dead & Company,10,Music,20.04.10,"""Dead Company|Dead|Dead and Company|Grateful Dead|Greatful Dead|Bob Weir|Bill Kruetzmann|Mickey Hart|John Mayer|Rhino Records|Jerry Garcia|nugs.tv|nugs.net""",44481,610,20,63,11380
193,K09a7l48VD0,The Chosen Global Livestream: Episode Seven,2020-04-05T02:35:47.000Z,UCBXOFnNTULFaAnj24PAeblg,The Chosen,1,Film & Animation,20.04.10,"""[none]""",153100,3895,91,313,5259
194,VOVcH_WR8P4,Building the Freedom Factory a GIANT Burnout/Drift Pad GRAND FINALE!!! (First Burnout Competition),2020-04-04T17:09:00.000Z,UCh8f8vssLddD2PbnU3Ag_Bw,Cleetus McFarland,1,Film & Animation,20.04.10,"""leroy|1320video|drag racing|boosted|cleetus McFarland|cleetus|McFarland|Leroy|bald eagles|bald eagle machine|procharger|1320|modified|boost|turbo|twin turbo|precision turbo|precision turbo and engine|Texas speed|resleeved 427|Texas speed and performance|Fasterproms|tuning|tuned|burnout|stick shift|six speed|corvette|Leroy Vette|c5 corvette|Chevrolet|unicorn|c5|supercharging Leroy|turbocharging Leroy""",1481998,63785,1061,7180,2183
195,eyFFzT85xto,"Otis finally hears the truth on Valentine’s Day date debacle: SmackDown, April 3, 2020",2020-04-04T02:54:26.000Z,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,17,Sports,20.04.10,"""wwe|world wrestling entertainment|wrestling|wrestler|wrestle|superstars|कुश्ती|पहलवान|डब्लू डब्लू ई|मैच|सुपरस्टार|व्यावसायिक कुश्ती|مصارعه|wwe 2020|SmackDown|Mandy Rose|Sonya Deville|Otis|Tucker|Dolph Ziggler|Smackdown clips|smackdown highlights|smackdown winners|smackdown match card|smackdown tonight|friday night smackdown|wwe smackdown|smackdown 2020|smackdown fox|heavy machinery|otis mandy rose|wrestlemania 36""",2444223,40216,1235,5227,192
196,gmK_gaE5v9A,DaBaby - Find My Way (Official Music Video),2020-04-01T16:00:20.000Z,UC2CCXzC56k0b8L49R_iW-Yw,DaBaby,10,Music,20.04.10,"""DaBaby|Baby Jesus|Charlotte|Hip Hop|Rap""",9793113,491886,9730,29520,617
197,pvU4b4N1-QU,Dear April (Side A - Acoustic),2020-04-03T03:43:33.000Z,UCETYiBLjt2v-pcKSgf8pe6g,Frank Ocean - Topic,10,Music,20.04.10,"""Frank Ocean|Dear April (Side A - Acoustic)""",778835,31455,558,1474,232
198,hc8dXrSZNwQ,"Dax - ""POPPIN"" (KSI REMIX) #PoppinChallenge",2020-04-03T03:38:30.000Z,UCvvVOIyaYu2l4jiH9L8_eRw,Dax,10,Music,20.04.10,"""dax|ksi|ksi poppin|poppinchallenge|dax poppin|#poppinchallenge|ksi poppin remix|rare|very rare|minimeter|logan paul|ksi smokepurpp|remix|one take|sad nigga hours|rap|rap god|sidemen""",1739470,79880,37016,20852,149
199,dCXOnxM8sdY,Apex Legends | Stories from the Outlands – “The Old Ways”,2020-04-02T17:00:10.000Z,UC0ZV6M2THA81QT9hrVWJG3A,Apex Legends,20,Gaming,20.04.10,"""Apex Legends|Apex|Apex Legends characters|new Apex Legend|Bloodhound|Apex Legends Season 4|Apex Legends Stories From the Outlands|The Old Ways Event|Revenant gameplay|Assimilation|Apex Legends Battle Pass|Season 4 Battle Pass|Apex Legends new season|Apex Legends game|Respawn Apex Legends|ps4|Xbox|PC|Battle Royale game|Battle Royale|Battle Royale shooter|Apex Games|squad play|multiplayer shooter|Respawn Entertainment|Electronic Arts|Titanfall 2|EA|Respawn""",4892944,236705,3154,26789,634
200,t2_PYzXswVY,"Karol G, Anuel AA - Follow",2020-04-02T01:59:30.000Z,UCZuPJZ2kGFdlbQu1qotZaHw,KAROL G,10,Music,20.04.10,"""Karol g|reggaeton|karol g anuel|karol g nuevo tema|karol g new song|anuel feat. karol g|karol g feat. anuel|secreto|tusa|karol g tusa|tusa karol g|karol g nuevo sencillo|karol g jimmy fallon|ocean karol g|karol g ocean|karol g y anuel|anuel y karol g|karol g anuel aa""",23330885,940798,37781,28699,203
